train,val,test
/data1/hjq/data/OCT_AMD//train/AMD1_2/020.png,/data1/hjq/data/OCT_AMD//train/DME9_1/014.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/069.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/010.png,/data1/hjq/data/OCT_AMD//train/DME9_1/055.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/039.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/01.png,/data1/hjq/data/OCT_AMD//train/DME9_1/054.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/093.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/037.png,/data1/hjq/data/OCT_AMD//train/DME9_1/022.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/016.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/015.png,/data1/hjq/data/OCT_AMD//train/DME9_1/020.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/077.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/029.png,/data1/hjq/data/OCT_AMD//train/DME9_1/010.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/083.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/036.png,/data1/hjq/data/OCT_AMD//train/DME9_1/01.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/074.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/033.png,/data1/hjq/data/OCT_AMD//train/DME9_1/057.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/060.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/04.png,/data1/hjq/data/OCT_AMD//train/DME9_1/037.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/090.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/09.png,/data1/hjq/data/OCT_AMD//train/DME9_1/015.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/018.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/027.png,/data1/hjq/data/OCT_AMD//train/DME9_1/029.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/076.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/044.png,/data1/hjq/data/OCT_AMD//train/DME9_1/036.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/019.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/013.png,/data1/hjq/data/OCT_AMD//train/DME9_1/033.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/014.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/045.png,/data1/hjq/data/OCT_AMD//train/DME9_1/04.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/088.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/03.png,/data1/hjq/data/OCT_AMD//train/DME9_1/09.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/055.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/038.png,/data1/hjq/data/OCT_AMD//train/DME9_1/027.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/054.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/08.png,/data1/hjq/data/OCT_AMD//train/DME9_1/051.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/022.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/025.png,/data1/hjq/data/OCT_AMD//train/DME9_1/044.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/086.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/034.png,/data1/hjq/data/OCT_AMD//train/DME9_1/013.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/020.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/035.png,/data1/hjq/data/OCT_AMD//train/DME9_1/052.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/094.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/046.png,/data1/hjq/data/OCT_AMD//train/DME9_1/045.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/010.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/02.png,/data1/hjq/data/OCT_AMD//train/DME9_1/059.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/01.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/042.png,/data1/hjq/data/OCT_AMD//train/DME9_1/03.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/066.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/06.png,/data1/hjq/data/OCT_AMD//train/DME9_1/058.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/057.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/049.png,/data1/hjq/data/OCT_AMD//train/DME9_1/038.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/079.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/07.png,/data1/hjq/data/OCT_AMD//train/DME9_1/056.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/037.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/043.png,/data1/hjq/data/OCT_AMD//train/DME9_1/053.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/092.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/024.png,/data1/hjq/data/OCT_AMD//train/DME9_1/08.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/075.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/047.png,/data1/hjq/data/OCT_AMD//train/DME9_1/025.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/068.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/041.png,/data1/hjq/data/OCT_AMD//train/DME9_1/034.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/095.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/040.png,/data1/hjq/data/OCT_AMD//train/DME9_1/035.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/015.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/048.png,/data1/hjq/data/OCT_AMD//train/DME9_1/046.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/029.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/032.png,/data1/hjq/data/OCT_AMD//train/DME9_1/02.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/036.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/026.png,/data1/hjq/data/OCT_AMD//train/DME9_1/042.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/071.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/023.png,/data1/hjq/data/OCT_AMD//train/DME9_1/06.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/033.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/017.png,/data1/hjq/data/OCT_AMD//train/DME9_1/049.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/081.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/05.png,/data1/hjq/data/OCT_AMD//train/DME9_1/07.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/04.png
/data1/hjq/data/OCT_AMD//train/DME10_1/030.png,/data1/hjq/data/OCT_AMD//train/DME9_1/043.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/09.png
/data1/hjq/data/OCT_AMD//train/DME10_1/028.png,/data1/hjq/data/OCT_AMD//train/DME9_1/024.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/027.png
/data1/hjq/data/OCT_AMD//train/DME10_1/021.png,/data1/hjq/data/OCT_AMD//train/DME9_1/047.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/051.png
/data1/hjq/data/OCT_AMD//train/DME10_1/012.png,/data1/hjq/data/OCT_AMD//train/DME9_1/050.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/072.png
/data1/hjq/data/OCT_AMD//train/DME10_1/031.png,/data1/hjq/data/OCT_AMD//train/DME9_1/041.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/044.png
/data1/hjq/data/OCT_AMD//train/DME10_1/011.png,/data1/hjq/data/OCT_AMD//train/DME9_1/040.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/013.png
/data1/hjq/data/OCT_AMD//train/DME10_1/016.png,/data1/hjq/data/OCT_AMD//train/DME9_1/048.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/087.png
/data1/hjq/data/OCT_AMD//train/DME10_1/018.png,/data1/hjq/data/OCT_AMD//train/DME9_1/032.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/052.png
/data1/hjq/data/OCT_AMD//train/DME10_1/019.png,/data1/hjq/data/OCT_AMD//train/DME9_1/026.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/045.png
/data1/hjq/data/OCT_AMD//train/DME10_1/014.png,/data1/hjq/data/OCT_AMD//train/DME9_1/023.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/059.png
/data1/hjq/data/OCT_AMD//train/DME10_1/022.png,/data1/hjq/data/OCT_AMD//train/DME9_1/017.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/03.png
/data1/hjq/data/OCT_AMD//train/DME10_1/020.png,/data1/hjq/data/OCT_AMD//train/DME9_1/05.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/065.png
/data1/hjq/data/OCT_AMD//train/DME10_1/010.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/030.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/073.png
/data1/hjq/data/OCT_AMD//train/DME10_1/01.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/028.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/058.png
/data1/hjq/data/OCT_AMD//train/DME10_1/015.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/021.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/038.png
/data1/hjq/data/OCT_AMD//train/DME10_1/029.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/064.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/056.png
/data1/hjq/data/OCT_AMD//train/DME10_1/04.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/012.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/053.png
/data1/hjq/data/OCT_AMD//train/DME10_1/09.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/067.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/08.png
/data1/hjq/data/OCT_AMD//train/DME10_1/027.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/061.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/025.png
/data1/hjq/data/OCT_AMD//train/DME10_1/013.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/096.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/034.png
/data1/hjq/data/OCT_AMD//train/DME10_1/03.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/084.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/035.png
/data1/hjq/data/OCT_AMD//train/DME10_1/08.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/031.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/046.png
/data1/hjq/data/OCT_AMD//train/DME10_1/025.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/062.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/02.png
/data1/hjq/data/OCT_AMD//train/DME10_1/02.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/011.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/042.png
/data1/hjq/data/OCT_AMD//train/DME10_1/06.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/069.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/06.png
/data1/hjq/data/OCT_AMD//train/DME10_1/07.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/039.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/049.png
/data1/hjq/data/OCT_AMD//train/DME10_1/024.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/093.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/07.png
/data1/hjq/data/OCT_AMD//train/DME10_1/026.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/016.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/091.png
/data1/hjq/data/OCT_AMD//train/DME10_1/023.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/077.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/078.png
/data1/hjq/data/OCT_AMD//train/DME10_1/017.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/083.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/043.png
/data1/hjq/data/OCT_AMD//train/DME10_1/05.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/074.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/024.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/030.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/060.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/047.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/028.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/090.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/070.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/021.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/018.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/089.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/064.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/076.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/050.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/012.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/019.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/041.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/067.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/014.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/063.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/061.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/088.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/040.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/096.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/055.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/085.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/084.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/054.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/048.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/031.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/022.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/097.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/062.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/086.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/032.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/011.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/020.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/026.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/069.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/094.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/023.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/039.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/010.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/017.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/093.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/01.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/05.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/016.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/066.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/080.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/077.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/057.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/082.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/083.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/079.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/030.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/074.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/037.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/028.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/060.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/092.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/021.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/090.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/075.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/064.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/018.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/068.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/012.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/076.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/095.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/067.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/019.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/015.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/061.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/014.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/029.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/031.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/088.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/036.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/062.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/055.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/071.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/011.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/054.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/033.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/069.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/022.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/081.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/039.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/086.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/04.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/016.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/020.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/09.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/060.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/094.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/027.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/018.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/010.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/051.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/019.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/01.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/072.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/014.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/066.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/044.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/055.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/057.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/013.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/054.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/079.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/087.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/022.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/037.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/052.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/020.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/092.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/045.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/010.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/075.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/059.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/01.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/068.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/03.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/066.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/095.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/065.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/057.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/015.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/073.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/037.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/029.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/058.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/068.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/036.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/038.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/015.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/071.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/056.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/029.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/033.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/053.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/036.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/081.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/08.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/071.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/04.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/025.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/033.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/09.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/034.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/04.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/027.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/035.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/09.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/051.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/046.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/027.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/072.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/02.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/051.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/044.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/042.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/072.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/013.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/06.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/044.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/087.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/049.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/013.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/052.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/07.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/052.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/045.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/091.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/045.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/059.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/078.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/059.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/03.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/043.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/03.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/065.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/024.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/065.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/073.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/047.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/073.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/058.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/070.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/058.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/038.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/089.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/038.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/056.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/050.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/056.png
/data1/hjq/data/OCT_AMD//train/NORMAL15_0/053.png,/data1/hjq/data/OCT_AMD//train/NORMAL13_0/041.png,/data1/hjq/data/OCT_AMD//test/AMD9_2/053.png
